provinsi,tahun,jumlah_pengumpulan,jumlah_penyaluran,ipm,persenmiskin,tpt,jumlahislam,pdrb
SUMATERA BARAT,2020,143939811963,132805023022,72.38,6.56,6.88,5446607.0,241894127.7
SUMATERA BARAT,2021,153963548178,158430202252,72.65,6.04,6.52,5470109.0,253100196.5
SUMATERA BARAT,2022,233024494105,233024494105,73.26,6.04,6.28,5528423.0,285376461.0
SUMATERA BARAT,2023,892064350141,892064350141,73.75,5.95,5.94,5528423.0,312770276.7
SUMATERA SELATAN,2020,43660634731,37097359536,70.01,12.98,5.51,8190877.0,454607396.1
SUMATERA SELATAN,2021,47472463700,50928614786,70.24,12.79,4.98,8324093.0,493636854.8
SUMATERA SELATAN,2022,90613920625,90613920625,70.9,11.95,4.63,8508999.0,590067101.6
SUMATERA SELATAN,2023,284232686461,284232686461,71.62,11.78,4.11,8508999.0,629099660.4
SUMATERA UTARA,2020,37837700446,49849716570,71.77,9.14,6.91,10022048.0,811188308.8
SUMATERA UTARA,2021,68333605039,78037161239,72.0,8.49,6.33,10124754.0,859934262.4
SUMATERA UTARA,2022,433412982200,433412982200,72.71,8.33,6.16,10244655.0,955193092.7
SUMATERA UTARA,2023,887591241143,887591241143,73.37,8.15,5.89,10244655.0,1050995407.0
